Пелагея Архиповна Тарасова,жен,1978-11-02,1203768203,6531645567
Сазонова Мария Федоровна,жен,1987-12-18,4612941905,3608625668
Ефимов Игорь Фёдорович,муж,2004-11-02,5217855263,NULL
Емельянова Алина Владиславовна,жен,1984-05-01,6052470531,3545690139
Костин Исай Фролович,муж,2015-08-05,NULL,NULL
Еремей Ааронович Лазарев,муж,2005-11-22,3552565010,NULL
Антонина Рубеновна Ершова,жен,2020-07-16,NULL,NULL
Екатерина Вениаминовна Семенова,жен,1984-06-16,4210095104,2392522075
Ольга Ждановна Щукина,жен,2020-04-21,NULL,NULL
Евгения Юльевна Зайцева,жен,1988-10-08,7423533161,3838417473
Гуляева Прасковья Романовна,жен,2019-10-02,NULL,NULL
София Геннадиевна Матвеева,жен,1977-03-12,8112526653,7715884236
Нифонт Эдгардович Гущин,муж,1975-03-25,5153807422,5216995589
Дорофеева Ульяна Натановна,жен,1997-11-07,0335703775,0400843602
Панфил Аверьянович Тимофеев,муж,2010-03-30,NULL,NULL
Раиса Эдуардовна Овчинникова,жен,1995-10-08,4939843199,5704635724
Шашкова Клавдия Егоровна,жен,2012-08-08,NULL,NULL
Алевтина Кузьминична Харитонова,жен,1974-12-12,9327123181,8182498716
Красильников Зиновий Антипович,муж,2010-10-22,NULL,NULL
Панфилов Валерий Александрович,муж,1984-05-01,7074695656,5945069459
Филатова Лукия Юрьевна,жен,2011-11-14,NULL,NULL
Шарова Нинель Рудольфовна,жен,1987-01-04,3811716458,7334188580
Наталья Павловна Петрова,жен,2018-05-12,NULL,NULL
Остап Ааронович Доронин,муж,2012-07-02,NULL,NULL
Казакова Марина Макаровна,жен,2017-01-27,NULL,NULL
Терентий Дорофеевич Новиков,муж,1989-04-06,8845851091,3318648177
Лаврентьев Август Феофанович,муж,1974-11-20,8025011286,8442531577
Емельянов Авдей Федосьевич,муж,2012-09-21,NULL,NULL
Лыткина Феврония Болеславовна,жен,2006-05-20,NULL,NULL
Никонов Каллистрат Иосифович,муж,1976-02-01,5428865541,1357712565
Раиса Павловна Хохлова,жен,1971-04-05,7585083005,5611267857
Роман Афанасьевич Ефимов,муж,1982-08-08,0854369568,1360993869
Чернова Евдокия Аркадьевна,жен,2009-11-07,NULL,NULL
Шашков Доброслав Елисеевич,муж,1993-08-12,6948399092,6352532194
София Михайловна Ермакова,жен,1986-11-30,6485984472,1178556262
Логинов Антонин Аксёнович,муж,1977-02-17,9907125101,6133241403
Адриан Гаврилович Русаков,муж,1973-03-01,6702303682,7398125909
Степанов Аполлинарий Фадеевич,муж,1984-08-28,4834780786,1173595927
Лев Артемьевич Молчанов,муж,1988-09-07,1975846893,2515219481
Макар Викторович Фролов,муж,2015-07-23,NULL,NULL
Николай Егорович Белов,муж,1985-04-26,3317732806,1775545794
Дорофеев Парамон Федосьевич,муж,2003-06-23,0038331989,NULL
Алексеева Майя Альбертовна,жен,1987-03-16,0754971472,8511569217
Мина Антипович Родионов,муж,2008-03-10,NULL,NULL
Наумов Прокл Вячеславович,муж,1983-08-13,6748681497,4145224925
Тамара Ивановна Ефимова,жен,1999-10-28,8949589429,3777940328
Королев Соломон Зиновьевич,муж,2015-05-12,NULL,NULL
Конон Федосьевич Бирюков,муж,1978-06-16,2040627857,2979130581
Орлова Лукия Леоновна,жен,2008-03-29,NULL,NULL
Тарасов Панфил Ефремович,муж,2000-03-28,4286470595,0146104022
Александра Александровна Сысоева,жен,1995-02-04,0626974132,3538962117
Пелагея Эльдаровна Егорова,жен,1974-06-02,5752760770,7718481794
Хохлова Анжела Сергеевна,жен,2002-12-15,6108678289,NULL
Кира Юрьевна Осипова,жен,1999-02-03,3851021864,8117464927
Орлов Самсон Эдгарович,муж,1971-10-04,5505661216,5471068792
Прасковья Вениаминовна Агафонова,жен,2016-04-19,NULL,NULL
Чернова Феврония Тарасовна,жен,2014-09-17,NULL,NULL
Ковалев Елисей Дмитриевич,муж,1997-03-14,1530178014,7692699603
Беляков Пантелеймон Анатольевич,муж,2019-03-08,NULL,NULL
Анисимова Елизавета Алексеевна,жен,2006-09-27,NULL,NULL
Всеслав Эдгардович Ширяев,муж,2006-09-18,NULL,NULL
Аверьян Жанович Павлов,муж,1976-09-24,3463522905,1381595146
Евдокимов Мартын Феликсович,муж,2014-01-18,NULL,NULL
Всемил Ярославович Фокин,муж,2008-09-28,NULL,NULL
Александра Федоровна Белозерова,жен,2006-10-17,NULL,NULL
Терентьева Прасковья Федоровна,жен,1978-08-19,6921493472,7664476572
Суворова Ольга Рудольфовна,жен,1983-04-09,6958804487,1759307492
Михеев Любомир Владиславович,муж,1974-09-25,0357216336,9710619543
