id_person,person_name,sex,birthdate,passport,drive_license
0,Семенова Майя Андреевна,жен,1979-08-16,8853308688,47810441593
1,Владислав Филиппович Белозеров,муж,2004-07-11,101610763100,NULL
2,Романова Евгения Валентиновна,жен,2002-09-27,58652310806,NULL
3,Виталий Власович Наумов,муж,1998-02-09,10682721018,6201689985
4,Исаева Синклитикия Рудольфовна,жен,2017-05-26,NULL,NULL
5,Аггей Арсеньевич Никифоров,муж,2006-10-17,NULL,NULL
6,Гаврилова Таисия Степановна,жен,1972-12-17,7163045114,86108760538
7,Белозеров Валерьян Фадеевич,муж,1998-06-17,7679764144,3136461566
8,Бобылев Ерофей Данилович,муж,1987-02-22,69641088285,8407954958
9,Ларионов Потап Вячеславович,муж,2018-03-14,NULL,NULL
10,Алина Васильевна Сергеева,жен,2019-12-18,NULL,NULL
11,Куликова Анжела Ефимовна,жен,1998-02-13,931010222456,5813099362
12,Иннокентий Демидович Лукин,муж,2015-05-10,NULL,NULL
13,Евгения Валериевна Шашкова,жен,2010-03-12,NULL,NULL
14,г-жа Иванова Майя Юльевна,жен,1972-03-29,883910149103,39485110825
15,Никодим Федосеевич Алексеев,муж,2003-09-22,2554766539,NULL
16,Фролов Изот Ефремович,муж,2013-11-20,NULL,NULL
17,Анжелика Александровна Кондратьева,жен,1991-05-30,2193031409,91467311038
18,Александра Артемовна Мишина,жен,2012-02-29,NULL,NULL
19,Пелагея Сергеевна Орехова,жен,1988-09-23,1706337442,3617219213
20,Евфросиния Сергеевна Власова,жен,2004-10-28,3158874911,NULL
21,Никифоров Фотий Валерьевич,муж,1981-07-29,85636393210,32194610389
22,Герман Ярославович Дементьев,муж,1982-05-16,10295758244,1017564185
23,Корнилова Елизавета Кузьминична,жен,1997-12-07,3078455710,51049554560
24,Фомин Велимир Дмитриевич,муж,2005-11-13,10961857558,NULL
25,Тарас Аверьянович Михеев,муж,2014-11-13,NULL,NULL
26,Терентьева Ирина Харитоновна,жен,2014-10-27,NULL,NULL
27,Иванна Захаровна Владимирова,жен,1986-07-23,6677137481,95242140106
28,Прокл Вилорович Петров,муж,1987-01-16,7402581067,4002310951
29,Октябрина Анатольевна Смирнова,жен,2000-08-19,31248239910,10510646853
30,Воронова Лариса Архиповна,жен,1993-05-01,73740021016,7979100201
31,Ситников Гордей Аверьянович,муж,1970-08-23,7790805741,3095299583
32,Белозеров Владлен Артемьевич,муж,1979-06-02,6187216073,40610837563
33,Алина Рубеновна Гришина,жен,1992-04-18,4036739852,481044286102
34,Фаина Владимировна Суворова,жен,2010-09-23,NULL,NULL
35,Регина Богдановна Сидорова,жен,2002-08-08,7915321375,NULL
36,Исаков Соломон Матвеевич,муж,1990-07-29,2674405070,42649920107
37,Лаврентьев Егор Адрианович,муж,1990-02-05,726125310101,1121010371088
38,Елисеева Вероника Ждановна,жен,1970-11-25,51089582032,7284276634
39,Меркушев Богдан Якубович,муж,1974-12-26,51107661506,1759831343
40,Герман Изотович Королев,муж,1983-09-19,104780103548,89439110340
41,Агата Макаровна Соловьева,жен,1981-08-29,1282695635,3851254755
42,Веселова Феврония Ильинична,жен,1990-04-13,907403107109,10400452720
43,Парамон Ефстафьевич Воробьев,муж,2004-03-29,10528874511,NULL
44,Акулина Антоновна Григорьева,жен,1993-05-25,9033524363,06541057905
45,Потап Фадеевич Федоров,муж,1999-12-03,85520001012,0678192264
46,Сильвестр Геннадиевич Смирнов,муж,1970-08-12,4199601270,91104803278
47,Анна Анатольевна Савина,жен,2005-08-31,8605718785,NULL
48,Сергеев Касьян Данилович,муж,1999-09-14,8747768740,6357846637
49,Кабанов Аникей Харлампович,муж,2009-08-13,NULL,NULL
50,Прасковья Алексеевна Яковлева,жен,2016-01-28,NULL,NULL
51,Зоя Святославовна Харитонова,жен,1994-03-17,73715214107,651101010698
52,Исай Измаилович Цветков,муж,1971-11-29,410588105978,10413400145
53,Митофан Бенедиктович Матвеев,муж,1986-09-06,10596618121,9966181638
54,Евпраксия Ивановна Фокина,жен,1980-06-17,769341048910,8810661145
55,Белова Юлия Ефимовна,жен,2018-09-22,NULL,NULL
56,Бурова Любовь Дмитриевна,жен,2004-05-10,7186259573,NULL
57,Бирюков Олимпий Фадеевич,муж,1984-07-21,344064106108,70101484687
58,Мельников Пров Игнатьевич,муж,1988-08-03,09810760906,313451066510
59,Пахомов Ферапонт Ярославович,муж,1996-11-04,10165474505,62122105163
60,Шарапова Милица Ивановна,жен,2006-11-11,NULL,NULL
61,Соболева Алла Ниловна,жен,1973-11-23,7654195161,30744210137
62,Артемьева Алла Макаровна,жен,1999-12-18,810337991001,71156108926
63,Любовь Тарасовна Третьякова,жен,1997-06-19,46128610675,82748312410
64,Евфросиния Кузьминична Некрасова,жен,1989-04-09,9947156714,5806682268
65,Лаврентий Феофанович Семенов,муж,1976-01-17,86260658102,9178425210
66,Михеева Евфросиния Альбертовна,жен,2012-02-01,NULL,NULL
67,Пимен Артемьевич Крюков,муж,2001-10-15,7808492394,991610661008
68,Леон Дорофеевич Носов,муж,1982-07-17,9439033134,5620515103
69,Кулакова Марина Аскольдовна,жен,2006-10-15,NULL,NULL
70,Романова Евдокия Алексеевна,жен,1976-11-29,3860419101010,97107840039
71,Шилова Лариса Ивановна,жен,1975-10-31,5559198305,21106837118
72,Людмила Александровна Тетерина,жен,1989-01-07,27654297102,91396451017
73,Медведев Матвей Гавриилович,муж,2016-07-07,NULL,NULL
74,Анна Степановна Куликова,жен,2013-01-16,NULL,NULL
75,Евпраксия Сергеевна Волкова,жен,2013-12-27,NULL,NULL
76,Лев Адрианович Егоров,муж,1985-06-06,4538179508,2403550950
77,Воробьев Авдей Арсенович,муж,1987-06-16,8399880258,7685432637
78,Артем Всеволодович Исаков,муж,1996-08-21,01093299245,3751493586
79,Дорофеева Ксения Даниловна,жен,2018-02-14,NULL,NULL
80,Юрий Алексеевич Шилов,муж,1973-12-25,4697954029,6958677084
81,тов. Рыбаков Онуфрий Андреевич,муж,2010-01-12,NULL,NULL
82,Колесников Анисим Бенедиктович,муж,1971-11-24,21019749568,30951106413
83,Эмилия Федоровна Сергеева,жен,1998-09-28,11087470475,3804271273
84,Элеонора Рудольфовна Турова,жен,1988-09-25,7914598007,79891031272
85,Уваров Венедикт Димитриевич,муж,1988-08-24,96184626102,661100610770
86,Милица Ефимовна Коновалова,жен,2010-06-15,NULL,NULL
87,Екатерина Игоревна Сысоева,жен,2007-01-27,NULL,NULL
88,Лукьян Димитриевич Прохоров,муж,2018-03-24,NULL,NULL
89,Амвросий Терентьевич Корнилов,муж,1974-08-11,3047160145,78781096606
90,Ольга Юльевна Соловьева,жен,1974-02-13,87748295108,74109463367
91,Васильева Дарья Максимовна,жен,2020-03-23,NULL,NULL
92,Ефремова Марфа Аркадьевна,жен,1991-10-17,02101312364,51053683705
93,Лыткина Пелагея Геннадиевна,жен,2018-10-15,NULL,NULL
94,Петров Арефий Демьянович,муж,2003-06-20,4940480772,NULL
95,Хохлова Светлана Юльевна,жен,2017-04-25,NULL,NULL
96,Данилов Милован Ефимович,муж,1985-04-02,7370972454,5236744379
97,Мамонтова Ангелина Святославовна,жен,1986-10-16,89310593516,3562102107109
98,Ираида Ефимовна Крылова,жен,1979-08-25,1471884207,30518610446
99,Корнил Глебович Шестаков,муж,1992-10-01,0864408894,791083912510
100,Сафонова Светлана Филипповна,жен,1987-11-09,1957801919,0075677346
101,Радим Харламович Колесников,муж,1991-05-31,0664359031,64100162099
102,Дмитрий Фролович Исаев,муж,2010-01-13,NULL,NULL
103,Марина Ивановна Субботина,жен,1980-12-23,8844910310102,1618145212
104,Моисеева Ираида Львовна,жен,1975-07-06,4742107687,64635961083
105,Савина Феврония Геннадьевна,жен,1984-01-20,62179058100,771031901072
106,Беляев Игорь Яковлевич,муж,1973-01-13,5033586184,4467481131
107,Оксана Мироновна Горшкова,жен,1996-01-27,10091806780,9387600719
108,Евгения Ивановна Селиверстова,жен,2010-02-17,NULL,NULL
109,Горбачев Милован Адрианович,муж,2016-11-04,NULL,NULL
110,Анжелика Никифоровна Зайцева,жен,1977-12-15,0380665844,2421091086103
111,Нонна Артемовна Кириллова,жен,1998-08-22,1010310184776,79246141104
112,Козлова Варвара Богдановна,жен,2014-10-26,NULL,NULL
113,Зайцева Евпраксия Наумовна,жен,1989-09-08,65478105120,701098810590
114,Гуляев Тимофей Фадеевич,муж,1982-01-11,47593720102,7954295403
115,Марков Яков Трифонович,муж,2007-03-20,NULL,NULL
116,Рожкова Марфа Дмитриевна,жен,1981-06-03,4588662099,2505589282
117,Ираида Ильинична Фадеева,жен,1975-06-01,74215105556,210109844233
118,Ксения Алексеевна Субботина,жен,2002-02-16,5863275658,NULL
119,Ковалева Ольга Игоревна,жен,1981-12-31,4088836099,0578021104
120,Азарий Венедиктович Дьячков,муж,2016-01-05,NULL,NULL
121,Гаврилова Галина Валентиновна,жен,1981-11-29,68910748436,8314189410
122,Маслов Самсон Артёмович,муж,2018-04-04,NULL,NULL
123,Корнил Валерианович Уваров,муж,2020-07-13,NULL,NULL
124,Анжелика Артемовна Лукина,жен,2013-06-17,NULL,NULL
125,Александров Христофор Герасимович,муж,2001-08-14,4809844417,6373104329
126,Никанор Жоресович Панов,муж,1980-06-25,68468110039,410651010107
127,Белова Надежда Тимуровна,жен,1973-09-24,96371027301,87978105370
128,Анжела Васильевна Блинова,жен,1984-05-16,2120885581,52103762528
129,Ширяева Юлия Рудольфовна,жен,2011-01-09,NULL,NULL
130,Всеволод Ефимович Якушев,муж,1973-08-13,08389221099,410092102118
131,Вишняков Руслан Якубович,муж,1985-11-25,0002781676,81050055601
132,Кошелев Ратмир Еремеевич,муж,1997-01-02,100107736345,26010837889
133,Суворова Анна Кирилловна,жен,1975-07-20,104105439498,5536222430
134,Ситников Поликарп Анатольевич,муж,1993-09-15,5959958899,2966445316
135,Стоян Афанасьевич Комаров,муж,2013-07-08,NULL,NULL
136,тов. Калинин Пахом Аверьянович,муж,2014-09-01,NULL,NULL
137,Прохор Иосифович Евдокимов,муж,1976-04-30,81225706106,4397595568
138,Галина Мироновна Красильникова,жен,2006-12-02,NULL,NULL
139,Фирс Тимурович Беспалов,муж,1997-07-12,36334857010,19611099773
140,София Никифоровна Николаева,жен,1987-04-04,106963105289,10198959722
141,Туров Измаил Юлианович,муж,1981-09-26,36410398931,65110197558
142,Галина Эльдаровна Сергеева,жен,1999-12-31,523962510102,7103210461068
143,Павел Юлианович Ларионов,муж,1994-07-02,311022109651,66648100774
144,Терентьев Евлампий Афанасьевич,муж,1972-02-26,5146154005,825106108066
145,Елизавета Наумовна Филиппова,жен,2019-12-23,NULL,NULL
146,тов. Агафонов Наум Бориславович,муж,2002-01-19,15106532113,NULL
147,Остап Августович Уваров,муж,2003-09-20,6188375611,NULL
148,Лапина Агата Юльевна,жен,1973-11-22,61421761093,944100001039
149,Ипполит Егорович Воронов,муж,2018-05-05,NULL,NULL
150,Воробьев Святополк Филимонович,муж,1980-05-05,51092034977,3436330604
151,Симонова Лора Федоровна,жен,1997-05-04,7105101599106,9890206691
152,Ирина Михайловна Мишина,жен,2004-04-21,9526251794,NULL
153,Вероника Андреевна Беспалова,жен,2013-05-15,NULL,NULL
154,Олимпиада Максимовна Лобанова,жен,2002-04-03,102910339107,NULL
155,Рюрик Елисеевич Марков,муж,2010-03-06,NULL,NULL
156,Евсей Валерианович Хохлов,муж,1991-09-01,8162230577,775496410103
157,Сигизмунд Брониславович Кулагин,муж,2002-10-30,103810413439,NULL
158,Пономарев Борислав Арсеньевич,муж,1998-06-22,37004105081,5633858810
159,Полякова Синклитикия Валериевна,жен,2002-07-13,83783001030,NULL
160,Аристарх Герасимович Корнилов,муж,2007-09-26,NULL,NULL
161,Влас Жоресович Константинов,муж,2010-09-17,NULL,NULL
162,Корнил Георгиевич Суворов,муж,1974-02-10,10892814685,5057693101010
163,Харитонова Ирина Константиновна,жен,2019-07-28,NULL,NULL
164,Елизавета Тимуровна Шарова,жен,1990-09-02,7670394459,31094400319
165,Жданов Нифонт Елисеевич,муж,2014-10-16,NULL,NULL
166,Юлия Максимовна Исаева,жен,1988-12-19,9966992782,10938785733
167,Рожков Артемий Александрович,муж,1997-02-23,73790396110,5361027839
168,Чернова Светлана Робертовна,жен,2017-05-12,NULL,NULL
169,Родион Артемьевич Крюков,муж,1974-04-21,33128847010,1055110991027
170,Елизавета Владиславовна Соболева,жен,1970-04-28,31060274939,0368011171
171,Юлия Валентиновна Якушева,жен,2010-04-16,NULL,NULL
172,Борислав Андреевич Маслов,муж,2013-05-24,NULL,NULL
173,Осипова Ия Вениаминовна,жен,2020-06-04,NULL,NULL
174,Анастасия Ефимовна Рыбакова,жен,2005-09-29,46922017410,NULL
175,Ларионов Наум Харлампович,муж,1985-09-02,659107551010,10836521326
176,Лора Ниловна Лыткина,жен,1994-11-24,3531769026,96985594103
177,Синклитикия Григорьевна Русакова,жен,2000-11-11,940507010104,39129710562
178,Наина Ильинична Данилова,жен,2010-10-03,NULL,NULL
179,Иосиф Владиславович Гордеев,муж,1997-10-04,93996389810,108431107526
180,Комаров Стоян Ефремович,муж,2003-03-02,992103242106,NULL
181,Овчинникова Фаина Семеновна,жен,1994-08-31,38546107059,31056307285
182,Волков Демьян Ерофеевич,муж,2003-02-26,514102643103,NULL
183,Валентин Ермолаевич Владимиров,муж,1975-03-18,61747100683,1072610811071
184,Данилов Ермолай Харлампьевич,муж,2007-09-16,NULL,NULL
185,Виктория Григорьевна Жданова,жен,1997-10-18,13960610141,41030789691
186,Глафира Филипповна Шарова,жен,2006-02-12,NULL,NULL
187,Миронова Иванна Руслановна,жен,1977-05-02,10075293101,43896345100
188,Алексей Дорофеевич Туров,муж,1970-06-29,33426682210,16623141026
189,Моисей Давыдович Селезнев,муж,2017-06-04,NULL,NULL
190,Зуева Наина Андреевна,жен,2011-08-09,NULL,NULL
191,Кулаков Владислав Трифонович,муж,1972-11-26,47604551010,5677426507
192,Герасимова Елена Владиславовна,жен,1991-02-27,9374364650,17281072792
193,Харитонов Милан Афанасьевич,муж,1998-12-15,84866308105,41057166658
194,Потапов Ананий Венедиктович,муж,2002-09-10,110105198810,NULL
195,тов. Юдина Маргарита Эдуардовна,жен,2019-04-28,NULL,NULL
196,Анжелика Юрьевна Королева,жен,2014-12-01,NULL,NULL
197,Филатов Руслан Демьянович,муж,1971-07-15,97410575807,1081094658107
198,Казаков Фока Артёмович,муж,1970-08-05,92349810107,2279947466
199,Эмилия Вадимовна Ершова,жен,2008-12-29,NULL,NULL
200,Ия Аркадьевна Морозова,жен,1990-06-23,77510200950,2210863589
201,Фаина Филипповна Петрова,жен,2014-08-07,NULL,NULL
202,Кириллов Сергей Эдгарович,муж,2016-04-16,NULL,NULL
203,Игнатов Фортунат Игнатьевич,муж,2003-05-27,28510660780,NULL
204,Прохоров Боян Фокич,муж,2017-07-25,NULL,NULL
205,Калинин Степан Ефстафьевич,муж,2013-11-12,NULL,NULL
206,Михайлов Ефим Даниилович,муж,1974-08-09,0479724931,317710281101
207,Зинаида Ивановна Матвеева,жен,1976-07-21,98166136100,91076957338
208,Агата Кузьминична Кудряшова,жен,1977-12-15,2340565902,10878840859
209,Киселев Станислав Абрамович,муж,1993-10-04,5027594131,14021047100
210,Анастасия Григорьевна Анисимова,жен,2008-02-08,NULL,NULL
211,Горшков Викентий Фролович,муж,1984-05-19,10103116754,04610558595
212,Ульяна Тарасовна Зимина,жен,2018-11-26,NULL,NULL
213,Лапина Пелагея Олеговна,жен,2007-08-29,NULL,NULL
214,Лукина Вероника Максимовна,жен,1980-12-14,0160552432,2477999723
215,Фадеева Тамара Харитоновна,жен,1990-02-24,5941010710304,107609471047
216,Маркова Любовь Петровна,жен,1977-01-18,44216221092,035114710100
217,Жанна Олеговна Киселева,жен,1981-11-18,8714321734,030611010815
218,Федоров Гурий Ильич,муж,1971-10-25,96310738187,8461016783
219,Кузьма Венедиктович Марков,муж,1983-05-26,5107504106109,398108853109
220,Логинов Эрнест Ильич,муж,2015-10-29,NULL,NULL
221,Колобов Авдей Анатольевич,муж,2000-10-28,84597109736,37514107185
222,Остромир Юлианович Артемьев,муж,2007-10-26,NULL,NULL
223,Фёкла Алексеевна Доронина,жен,1999-01-24,08231082853,22671610117
224,Наталья Евгеньевна Лазарева,жен,1982-04-14,9302712441,473101077153
225,тов. Шубина Зинаида Вениаминовна,жен,2019-07-13,NULL,NULL
226,Селезнева Марфа Петровна,жен,2009-10-22,NULL,NULL
227,Богданов Клавдий Ермолаевич,муж,2017-06-09,NULL,NULL
228,Потапова Людмила Игоревна,жен,2004-12-23,1010710872422,NULL
229,Кулаков Евстафий Тимурович,муж,1991-04-11,63571002916,4469755829
230,Капитон Ермилович Стрелков,муж,1994-11-23,2367847057,110201095954
231,Кудряшов Никодим Авдеевич,муж,1994-02-09,14831361016,107190100495
232,Евдокимова Нонна Максимовна,жен,2006-05-26,NULL,NULL
233,Тихонова Фаина Максимовна,жен,2007-09-16,NULL,NULL
234,Радислав Арсенович Гурьев,муж,1976-04-01,87109128691,0010393821
235,Осипова Светлана Петровна,жен,1975-06-04,10336671722,56110887401
236,Зуева Октябрина Федоровна,жен,1992-03-19,79474591100,6772023841
237,Турова Клавдия Робертовна,жен,1978-10-31,23210851691,6188246798
238,Фадеев Афанасий Валерьянович,муж,1975-09-12,10700732750,751018071086
239,Жданов Любосмысл Федосьевич,муж,1990-01-21,6141010098100,8688518032
240,Рыбакова Нонна Филипповна,жен,1989-09-24,4657080596,62364646104
241,Кириллов Ираклий Витальевич,муж,1994-04-21,6193800578,61066488931
242,Максимильян Иосипович Владимиров,муж,2014-05-04,NULL,NULL
243,Ким Игнатович Зиновьев,муж,2006-03-12,NULL,NULL
244,Рябов Демид Бенедиктович,муж,1975-01-07,74371024941,08525584410
245,Блинова Синклитикия Викторовна,жен,1974-02-08,3393691316,1154574865
246,Клавдия Павловна Данилова,жен,1983-11-03,6063436412,92577151054
247,Богдан Феодосьевич Емельянов,муж,2001-09-24,3589463292,8610361100105
248,Захарова Анастасия Леонидовна,жен,2009-05-08,NULL,NULL
249,Казимир Валерьевич Логинов,муж,1993-06-20,55453091016,5054710498
250,Емельян Валерьянович Зыков,муж,2004-12-20,89101208164,NULL
251,Карл Харлампьевич Казаков,муж,1974-08-17,0638396964,3735581704
252,Лобанова Полина Оскаровна,жен,1979-06-07,2204536002,66310110108108
253,Комарова Наталья Ждановна,жен,2001-06-05,71747768210,4479379047
254,Октябрина Григорьевна Жукова,жен,2004-10-10,4807722229,NULL
255,Панфилов Егор Аксёнович,муж,1982-01-16,1262251010106,4843191081010
256,Зиновьева Маргарита Кузьминична,жен,1977-09-15,4661986872,107108029664
257,Анастасия Матвеевна Субботина,жен,1989-06-03,93411013769,9979127734
258,Светлана Артемовна Данилова,жен,2004-07-20,10533106991,NULL
259,Пимен Тихонович Трофимов,муж,2001-05-06,30101987809,10387645028
260,Евдоким Феодосьевич Куликов,муж,1998-10-14,69851028040,71049686510
261,Зоя Вениаминовна Денисова,жен,2017-02-10,NULL,NULL
262,Блохина Ирина Васильевна,жен,1973-09-23,441106195102,8663485598
263,Русакова Элеонора Васильевна,жен,2019-03-01,NULL,NULL
264,Антонов Феоктист Геннадиевич,муж,1970-07-09,0129456174,46103198864
265,Милий Абрамович Вишняков,муж,2013-01-19,NULL,NULL
266,Константин Александрович Фокин,муж,1990-03-19,2298090587,7050426451
267,Прохор Герасимович Фомичев,муж,2002-02-04,86510102108103,NULL
268,Кузьмин Милий Фёдорович,муж,1974-07-11,679451089710,5739934279
269,Фомичев Владилен Алексеевич,муж,1979-05-04,3325022295,6167862690
270,Наина Макаровна Артемьева,жен,2004-03-23,9737146728,NULL
271,Титова Алевтина Алексеевна,жен,2015-06-11,NULL,NULL
272,Глафира Руслановна Некрасова,жен,1997-01-31,8661440634,58761058249
273,Лора Рудольфовна Пономарева,жен,2011-09-22,NULL,NULL
274,Туров Степан Викторович,муж,2013-04-16,NULL,NULL
275,Кира Никифоровна Рогова,жен,2008-03-11,NULL,NULL
276,Котов Аникита Иларионович,муж,2004-05-18,5519710107510,NULL
277,Леон Терентьевич Тетерин,муж,2004-11-08,31047781948,NULL
278,Еремей Ермолаевич Кошелев,муж,1996-08-19,101010104010,10414441090
279,Ларионов Никандр Владленович,муж,1972-09-17,0517605567,310354131090
280,Макарова Синклитикия Геннадиевна,жен,1987-08-19,360751110100,21063912839
281,Петухова Ульяна Альбертовна,жен,1994-06-17,8210461037101,45843910822
282,Агафонова Полина Егоровна,жен,1970-03-22,4197704815,510216746108
283,Сергеева Анастасия Святославовна,жен,1989-08-18,9950261086,9209059287
284,Руслан Тихонович Ершов,муж,2013-05-01,NULL,NULL
285,Клавдия Афанасьевна Кононова,жен,1987-09-08,10208621868,10796114692
